pot,emergence,germination,pre_damping_off,damping_off.1,damping_off.2,damping_off.3,damping_off.4
1,6,8,1,0,0,3,3
2,6,8,0,0,0,0,0
3,5,7,0,0,0,0,0
4,7,7,0,0,4,4,4
5,6,6,1,3,4,4,4
6,4,8,0,0,0,0,0
7,5,7,1,0,0,0,0
8,5,6,1,0,2,3,4
9,3,5,1,0,1,1,1
10,4,8,1,4,4,4,6
11,2,8,2,0,0,0,0
12,6,8,0,0,0,0,0
13,5,7,2,0,3,3,3
14,5,7,0,1,1,2,2
15,5,8,2,1,2,2,4
16,6,8,1,1,1,1,3
17,7,7,1,0,0,0,0
18,4,8,1,2,2,2,2
19,3,8,1,0,0,3,4
20,5,6,1,0,4,5,5
21,7,7,0,1,4,6,7
22,7,8,1,0,3,3,3
23,8,9,1,2,2,4,7
24,6,8,0,0,0,0,0
25,4,9,3,0,2,4,4
26,3,8,2,0,0,1,1
27,4,7,0,0,4,4,5
28,5,7,1,2,2,4,7
29,3,8,0,0,1,1,1
30,4,6,2,0,1,1,4
31,5,7,0,0,4,4,4
32,5,9,2,0,3,3,3
33,4,7,1,0,0,2,3
34,5,8,1,0,0,0,0
35,8,8,0,0,0,0,0
36,7,7,3,0,2,3,3
37,5,8,0,0,0,0,0
38,7,7,1,3,3,4,5
39,7,7,1,0,0,0,0
40,5,7,1,0,0,0,2
41,7,8,1,0,0,0,1
42,4,7,3,0,0,0,1
43,4,8,1,0,0,0,0
44,7,7,0,0,2,4,5
45,4,7,2,0,0,0,0
46,7,8,0,0,0,0,0
47,5,7,1,0,1,1,3
48,6,9,2,0,0,0,2
49,4,7,0,0,0,0,0
50,4,8,0,0,0,0,0
51,6,8,2,0,0,0,0
52,6,6,2,0,0,0,3
53,5,8,0,0,0,0,2
54,4,7,0,0,0,4,4
55,4,7,0,0,0,0,0
56,5,6,1,0,3,4,5
57,5,7,1,0,0,0,0
58,5,6,1,3,6,6,6
59,7,7,1,0,1,2,5
60,4,4,0,0,1,2,3
61,6,7,2,0,1,3,3
62,7,8,0,6,6,6,6
63,6,7,0,0,2,2,2
64,4,7,1,0,0,1,1
65,4,6,0,0,0,0,0
66,3,7,1,0,0,1,1
67,3,5,1,0,0,0,0
68,7,7,0,0,0,4,4
69,6,7,0,0,2,2,3
70,4,6,1,0,0,0,0
71,6,7,0,0,5,5,6
72,4,6,2,2,4,4,4
73,4,4,0,1,4,4,4
74,5,7,1,0,0,0,0
75,3,6,1,0,1,2,3
76,5,8,1,0,0,1,1
77,5,7,0,0,3,3,5
78,4,5,1,0,4,4,5
79,2,5,1,1,1,4,4
80,4,5,0,3,3,4,5
81,4,6,2,0,3,4,4
82,3,8,1,0,0,0,1
83,6,3,1,4,4,4,4
84,6,8,1,1,1,3,3
85,3,7,1,0,0,0,1
86,4,9,1,1,3,4,5
87,3,7,0,0,1,2,2
88,3,4,0,3,3,4,4
89,6,6,0,4,4,5,6
90,5,4,0,0,3,4,4
91,5,7,0,3,4,7,7
92,3,7,0,2,5,5,7
93,7,3,0,0,3,3,3
94,5,8,1,0,2,6,6
95,2,5,0,0,1,3,3
96,5,8,1,1,2,3,3
97,3,7,1,0,5,5,5
98,7,6,0,0,2,5,6
99,7,6,0,0,0,0,0
