isolate_id,differential,gene,dead,total
16PR018B.1,Williams,rps,3,11
16PR018B.1,Harlon,1a,1,10
16PR018B.1,Harosoy 13XX,1b,1,10
16PR018B.1,Williams 79,1c,8,10
16PR018B.1,Williams 82,1k,2,10
16PR018B.1,L79-1988,2,3,10
16PR018B.1,PRX-146-36,3b,3,10
16PR018B.1,PRX-145-48,3c,5,8
16PR018B.1,L85-2352,4,0,10
16PR018B.1,L85-3059,5,1,12
16PR018B.1,Harosoy 62XX,6,1,12
16PR018B.1,Harosoy,7,4,8
16PR018B.1,L83-570,3a,8,10
117PR006L.1,Williams,rps,0,8
117PR006L.1,Harlon,1a,1,12
117PR006L.1,Harosoy 13XX,1b,0,12
117PR006L.1,Williams 79,1c,1,10
117PR006L.1,Williams 82,1k,1,11
117PR006L.1,L79-1988,2,0,8
117PR006L.1,PRX-146-36,3b,5,10
117PR006L.1,PRX-145-48,3c,3,6
117PR006L.1,L85-2352,4,0,10
117PR006L.1,L85-3059,5,3,12
117PR006L.1,Harosoy 62XX,6,0,12
117PR006L.1,Harosoy,7,3,9
117PR006L.1,L83-570,3a,8,10
16PR024C.1,Williams,rps,0,10
16PR024C.1,Harlon,1a,0,10
16PR024C.1,Harosoy 13XX,1b,0,10
16PR024C.1,Williams 79,1c,0,8
16PR024C.1,Williams 82,1k,2,11
16PR024C.1,L79-1988,2,0,12
16PR024C.1,PRX-146-36,3b,0,10
16PR024C.1,PRX-145-48,3c,0,8
16PR024C.1,L85-2352,4,0,11
16PR024C.1,L85-3059,5,0,12
16PR024C.1,Harosoy 62XX,6,0,10
16PR024C.1,Harosoy,7,0,10
16PR024C.1,L83-570,3a,1,9
16PR024C.2,Williams,rps,0,8
16PR024C.2,Harlon,1a,1,12
16PR024C.2,Harosoy 13XX,1b,0,11
16PR024C.2,Williams 79,1c,4,11
16PR024C.2,Williams 82,1k,2,11
16PR024C.2,L79-1988,2,0,11
16PR024C.2,PRX-146-36,3b,1,10
16PR024C.2,PRX-145-48,3c,4,8
16PR024C.2,L85-2352,4,2,12
16PR024C.2,L85-3059,5,0,12
16PR024C.2,Harosoy 62XX,6,0,10
16PR024C.2,Harosoy,7,0,10
16PR024C.2,L83-570,3a,7,8
18PR003,Williams,rps,0,12
18PR003,Harlon,1a,1,10
18PR003,Harosoy 13XX,1b,1,10
18PR003,Williams 79,1c,3,12
18PR003,Williams 82,1k,1,10
18PR003,L79-1988,2,0,12
18PR003,PRX-146-36,3b,0,10
18PR003,PRX-145-48,3c,2,8
18PR003,L85-2352,4,0,10
18PR003,L85-3059,5,0,12
18PR003,Harosoy 62XX,6,0,12
18PR003,Harosoy,7,1,12
18PR003,L83-570,3a,5,12
18PR004,Williams,rps,5,12
18PR004,Harlon,1a,5,10
18PR004,Harosoy 13XX,1b,3,10
18PR004,Williams 79,1c,3,10
18PR004,Williams 82,1k,4,8
18PR004,L79-1988,2,5,10
18PR004,PRX-146-36,3b,4,8
18PR004,PRX-145-48,3c,1,8
18PR004,L85-2352,4,2,11
18PR004,L85-3059,5,1,10
18PR004,Harosoy 62XX,6,0,10
18PR004,Harosoy,7,1,10
18PR004,L83-570,3a,8,12
18PR005,Williams,rps,0,12
18PR005,Harlon,1a,0,12
18PR005,Harosoy 13XX,1b,0,12
18PR005,Williams 79,1c,0,10
18PR005,Williams 82,1k,0,12
18PR005,L79-1988,2,0,10
18PR005,PRX-146-36,3b,0,11
18PR005,PRX-145-48,3c,0,8
18PR005,L85-2352,4,0,11
18PR005,L85-3059,5,0,12
18PR005,Harosoy 62XX,6,0,10
18PR005,Harosoy,7,0,12
18PR005,L83-570,3a,0,12
